題目,答案,連結
"請問Fick買的健身椅子前3個月的使用率為多少次？
(A)2>3 >4
(B)4>6 >9
(C)2>7 >10
(D)2>5>8
",(D)2>5>8,"6:31
https://youtu.be/FZhen42CXmk?si=EmL-fqLygamxNVlx&t=391s"
"請問敢不敢系列第三集 part.1，小六他們去六福村並沒有玩什麼設施?
(A)決戰墓碑鎮VR
(B)笑傲飛鷹
(C)老油井
(D)急流泛舟
",(B)笑傲飛鷹,"3:17
https://youtu.be/6CHpPgAQ8uM?si=sdCj7WGqnOElbeuE&t=197s"
請問六嘆有一次疑似夢遊，一覺醒來發現下半身全裸，隔天發現他把內褲放在哪裡？而老王推測他的屁股裡有什麼？,內褲放在冰箱裡，屁股裡有吹風機,"16:59
https://youtu.be/vwk3vcQqCSQ?si=oh5TBlQTUHE-b0x9&t=1019s"
有一次鳥屎他們買蔥油餅的旁邊買了一瓶飲料叫矮肥短，請問[矮肥短]是什麼英文單字音譯出來的?,everyday,"16:17
https://youtu.be/RZmRzOzG_qg?si=AoRhFMcJv9NNoohT&t=977s"
請問老王有沒有去大嘻哈時代2的演唱會?沒有去的話，為什麼?,沒有，因為他確診,"4:40
https://youtu.be/cil9tjqCNh0?si=FELQ1D8X6JaJptiZ&t=280s"
請問老王是看什麼動畫的第二季哭到針眼要爆出來?,刀劍神域 第二季,"2:14
https://youtu.be/nSXJPNxYtvw?si=YccikdKxZPpb34yX&t=134s"
請問在小熊做的有關自由新鎮演出的噩夢是油條在台上亂講什麼動畫電影的台詞?,冰雪奇緣,"10:49
https://youtu.be/hN4hmDYbUJg?si=5c-eTm9jl1FAY1mG&t=649s"
請問鳥屎對小六MV評語是什麼?,用草東的景，拍大壯的MV,"4:36
https://youtu.be/2qgZutFMvvo?si=ZzX4T5OiSlVNjEUa&t=276s"
請問是哪位日本人會在排戲的時候突然跑過來拍鳥屎肚子說:「でぶちゃん(小胖)」,片山陽加,"2:51
https://youtu.be/AZ8lmKniT3o?si=IMgucbkwOgXO5ci2&t=171s"
六嘆以前在學校趴在課本上睡覺流口水，結果一驚醒的時候直接把一頁撕下來，黏在他臉上，請問他接下來做什麼事來掩飾尷尬?,趕快把紙拿下來，拿尺壓著把接下來的第2、3頁也撕下來,"14:58
https://youtu.be/0cLAkStZJFQ?si=ZDEj0mjyP5ceHFeO&t=898s"
請問小六說他是因為誰抱著他，所以他才敢玩那些恐怖遊戲?,Fick,"1:23
https://youtu.be/2hUPYcyOxOM?si=nsYq4djwJWUrMl8i&t=83s"
老王接到顧客要在猓玀苑訂位的電話後，說明他們只有網路訂位，但顧客抱怨網路上都是滿的，請問老王接下來差點脫口說出什麼?,呃⋯那怎麼辦呢?,"14:22
https://youtu.be/aKdmLVX0aMM?si=ffRupvgzyjxaralv&t=862s"
"請問是誰把
「看在你說自己是女生的份上」
講成
「看在你說自己是女朋友的份上 」 ?",六嘆,"3:32
https://youtu.be/vMD-9PqiY-I?si=XofatXwYDBSMTvO2&t=212s"
請問艾瑪史東、艾瑪華森、克蘿伊以上這三個女演員，鳥屎最喜歡哪一個?為什麼?,艾瑪史東，因為她嘴巴很大,"11:32
https://youtu.be/z2KaAOADGQk?si=hU2Fz8JqJrHs6gRC&t=692s"
請問哪兩位實況主在Twitch每5個訂閱就多送訂閱的活動中，因為是自己送自己訂閱，所以拿到5+0?,小六和Leggy,"3:20
https://youtu.be/tfuWKLSqWWg?si=9EcE5qMzzPKw97XX&t=200s"
請問老王他們去吃酸菜魚的時候，店員喊了什麼口號?,不發限動，魚會難過,"5:04
https://youtu.be/YqkjMHXYavk?si=klKjPxWVCzvHj1hP&t=304s"
請問老王說他過年的時候會進行什麼食物的馬拉松?,平安粥,"11:12
https://youtu.be/ipLlSWiJZtw?si=cB83CO4P33YxKaYg&t=672s"
請問六嘆開玩笑說如果遇到海底撈要拚翻桌，就在Pad上按一個什麼食物，然後跟店員說:「看看你的同伴。」,豬腦,"3:11
https://youtu.be/P6IEBqEvwWM?si=RzbOuzjgw1RrI4sg&t=191s"
請問老王把手肘講成什麼?,手的膝蓋,"3:42
https://youtu.be/1yItpixpcQo?si=rLfG4wgdkyw5HUEk&t=222s"
請問【十月的風箏】、【傳說中的占卜師】分別是誰以前取過的遊戲ID?,小六、老王,"1:15
https://youtu.be/WT63IpI6vfo?si=ZLM9bP4xSBTFWHMe&t=75s"
請問統神去麥卡貝尾牙，一坐下來就問怎麼沒看到什麼食物?,龍蝦,"5:07
https://youtu.be/uNiF6BGRH4I?si=dJWm-w-yxgRDVUmc&t=307s"
請問老王跟八毛是跟哪位饒舌歌手一起去逛G8，而且老王跟他進去色情遊戲區的時候，正好幾乎每攤都在火熱的畫面？,wannasleep,"9:30
https://youtu.be/cQDapnIKS80?si=ao73wNt-NcbXDH7r&t=570s"
請問是誰在yahoo奇摩知識+問泰綺思冥想曲在哪些電影、連續劇出現過?並且還特別註明不用回答哪一部日劇，因為他已經擁有了?,泰綺思冥想曲，交響情人夢,"1:04
https://youtu.be/gY-jLVEhwQI?si=ATiscE1EANGk0am1&t=64s"
"在2018春酒猜人名大賽中，請問老王的題目的那個遊戲角色
他有點餓嗎?",蠻餓的,"7:51
https://youtu.be/lT0XR8tgsVU?si=mXySbV0sKaG-MCHp&t=471s"
"請問顏顏並沒有與下列哪個人在現在宅知道同台?
(A)蔡亞恩
(B)偷米
(C)飽妮
(D)鐵牛
(E)阿北
",(D)鐵牛,https://youtu.be/HykH2um6CCM?si=s1lD1wzCQqfZQlIa
老王做了體檢後發現他的維生素D不夠，所以買了液態的維生素D。想到八毛的維生素D一定也不夠，所以滴了幾滴到八毛的碗裡，八毛問這是什麼，老王回說:「___(三個字)，愚人節快樂喔。」請問空格裡面應該填什麼?,蠶豆汁,"19:25
https://youtu.be/ck6KRL721to?si=WdNNQ-658JrmkTP8&t=1165s"
"請問鳥屎在第一屆無邏輯大賽中因為重複說了哪個名詞而被眾人調侃?
(由yu__3702提供)",太空梭,"8:52
https://youtu.be/wD9YP_7sfjc?si=ornCmP5OtCix5utR&t=532s"
請問以前小六跟找不到路的六嘆說什麼?,「我會把衣服脫光在路邊等，你看到猛男就可以轉彎了。」,"7:29
https://youtu.be/qjUqUiWK3RY?si=t7z9qy6uZki6N1Gn&t=449s"
請問在默契大考驗中的「請講出一種味道」這題，小六和李迅有沒有挑戰成功?,沒有,"9:08
https://youtu.be/Ii0WGMAoAXk?si=ZnE3t_M2WCK4dKYS&t=548s"
請問在餘震的時候，老王抱著八毛學甄環傳說什麼?,這日子到底什麼時候才是個頭阿｡ﾟヽ(´Д`)ﾉﾟ｡,"4:33
https://youtu.be/hcAluNFA0Lk?si=aQMiZE1kZsItz6e2&t=273s"
請問什麼是咕逆U羅?,GU,"1:55
https://youtu.be/f1WqTt9ghrk?si=ZFwqVi7BcJMhO62H&t=115s"
請問鳥屎覺得提拉米蘇上的巧克力粉是像會陰的味道嗎?,不是，是屁縫的味道,"15:54
https://youtu.be/pUPcYJTJT9s?si=Zfrwcur6aealLQZF&t=954s"
請問李迅和小六有沒有收到施工送的蛋捲?,沒有，只有鳥屎他們收到一大盒的喜年來蛋捲,"4:45
https://youtu.be/tqh_MXmOwm8?si=L-DcYZfXVPRAgASd&t=265s"
有一天老王去鳥屎家拍工商照，鳥屎先去遛狗。過了大概5分鐘，老王聽到有人走上樓的聲音，他直接對著樓梯間喊「__?」結果是一位PChome的快遞員，要送包裹給顏顏。請問空格裡面的兩個字要填什麼?,咋啦?,"27:32
https://youtu.be/z3ESZLMnlWg?si=kAzXSTa43uPh3Llv&t=1652s"
請問老王玩瓦羅蘭的時候，聽到隊友講了什麼，以為隊友在罵他，但六嘆推測應該是在講 chamber low?,鄉巴佬,"11:56
https://youtu.be/JfgjGCmOfzI?si=F9izllTyyBoq1mUm&t=716s"
"請問老王的哥哥開的飲料店是什麼品牌?",圓石禪飲,"8:16
https://youtu.be/msh1MlaeMpQ?si=KJcLbfWtsvulNZHg&t=496s"
八毛有一次跟老王的家人吃飯，直接請了1萬多塊，所以鳥屎怎麼稱呼他?還有老王在那一餐遇到誰?,八毛是大龜頭，遇到鳥屎,"2:47
https://youtu.be/pr__cG111xw?si=IZkdMI9muspAGujc&t=167s"
請問Leggy牛排都吃幾分熟?,五分熟，而且中間要有一點沒熟,"35:15
https://youtu.be/8gQ5eOo7NLo?si=2-5UkvbZv_0aUt9o&t=2115s"
請問小六如果想要作夢的話，他就會睡在哪裡?,客廳,"6:36
https://youtu.be/d4zb1zQoZ40?si=3gnWlvr136KPDr8_&t=396s"
有一種說法是「甘蔗男」，就是形容一開始很甜後來很渣的男生。依此類推，老王形容八毛是什麼男?八毛形容小六是什麼男?,"八毛是苦瓜男，小六是釋迦男或波羅蜜男","8:04
https://youtu.be/MG3-uugp-f0?si=sZTXUIzd4VoEeAPa&t=484s"
請問小六在2026年去日本滑雪的時候迷上什麼?,柏青哥,"0:44
https://youtu.be/ue90jE-MWiQ?si=jDFOU84HbCjrc4On&t=44s"
在 LNG精華:無限死鬥的書偉歐齁 裡，請問老王本來提議要所有人一起選哪隻英雄，還特別提醒大家不要ban他，結果自己一進遊戲不小心就ban了?,拉克斯,"15:58
https://youtu.be/LC4aVANwnHo?si=XM-HsBOcGvu7UHjx&t=958s"
請問老王第一次約打完排球，一邊跟大家從球場離開，一邊說了什麼，所以被發現是機器人了?,下次我要穿一雙比較合身的腳來。,"15:32
https://youtu.be/kbCZ5vnOyXc?si=kqoyGCajKarKynMa&t=932s"
"有一天下午老王在FB開直播和油條玩遊戲，有一個15歲的青少年進聊天室問:「這是什麼遊戲?」老王就回答。過了一下下，他又問「遊戲名稱是什麼?」老王跟聊天室都再回答一次。又過了一下下，他又問:「遊戲名稱到底是什麼啦?(ﾒﾟДﾟ)ﾒ」
請問老王在玩的遊戲是什麼?",動物大逃殺,"4:50
https://youtu.be/x56gy20xUoA?si=Mo_AtH5HFUQc7Keh&t=290s"
請問阿里山的姑娘都騎什麼?,Gogoro,"1:04
https://youtu.be/c2TISF7T23A?si=-CM0uxL6IGCpbbGw&t=64s"
"老王和八毛有一次遇到有人在外面很用力地拖著貓咪走，請問下列哪個行為並是他們如果再遇到會採取的?
(A)八毛會拿石頭砸他
(B)八毛騎機車撞他
(C)老王拿八毛丟他
(D)八毛拿附魔過的拳頭打他
(E)以上皆是
",(E)以上皆是,"4:02
https://youtu.be/dklg8s3PXkM?si=ky3eBthAe688S6S-&t=242s"
請問鳥屎說的 pon pon way way way pon pon way pon way pon pon 是指工商的哪款遊戲?,砰砰法師,"0:30
https://youtu.be/ZkPw-V1ST8s?si=6UEXllo1CQGJDHMd&t=30s"
老王以前在櫃檯工作期間遇到一個阿姨要申請東西，那個東西要等7個工作天公司做好寄來，但那個阿姨七天整就來催，還拍桌抱怨。她要走的時候還murmur說:「有夠差，都已經七天了還沒做好。」然後老王就補了一句:「阿姨，六日沒上班喔，只能算五天。」請問接下來這個阿姨轉頭瞪老王然後說什麼?,"你再說一次試試看","2:44
https://youtu.be/k5Le0o7T-RA?si=74fEPHemz0PPYDiM&t=164s"
請問老王被賦予了什麼稱號來彰顯他的難揪程度?,不動老王,"4:48
https://youtu.be/ADTFo3ta1YE?si=v8gtWW_hnBEE39uZ&t=288s"
請問翔語裡的「乾蝦」是什麼意思?,顏射，指將醬料直接射在食物上,"9:39
https://youtu.be/oea4_iBvckE?si=ZYffURz69_fkdBxc&t=579s"
請問八毛曾說哪個縣市沒有鐵板?,高雄,"9:40
https://youtu.be/ZEnj5v5KYzY?si=Rg57sbG9y6wSBU1H&t=544s"
請問通馬桶的那個東西叫什麼?小六家的那個東西底部長什麼樣子?,搋子，小六家的長得像幽浮,"5:20
https://youtu.be/b7ytCDNdfSQ?si=93FeOwMh8uEb3W82&t=320s"
在小六和李迅的婚禮中，請問李迅要開始上廁所、要二進、要逐桌敬酒的代號分別是什麼?,"要開始上廁所-翡翠放水
要二進-蛇準備脫皮
要逐桌敬酒-逐桌敬酒
","11:06
https://youtu.be/8aChE_dnK5Y?si=U-H7REnC-p5RIDPr&t=666s"
當聊到迦恩的狗跟燒餅一樣會吃貓砂，六嘆說迦恩的狗覺得貓砂吃起來是____佐____?,Tapioca佐shit,"11:46
https://youtu.be/axp8ZNDbYK0?si=06go_VMHSTOmpwZd&t=706s"
觀眾問鳥屎喜歡什麼類型的女生，鳥屎回答跟魯蛋一樣，請問魯蛋喜歡什麼樣的女生?,頭髮長、ㄋㄟㄋㄟ大、口袋深,"0:10
https://youtu.be/YfxYkT0gnvU?si=SFLAKvGiSlNRPh4S&t=10s"
"請閱讀以下文字完成填空
六嘆:
下面就有那種色男就說可以認識你嗎?
我是臺灣人 我36歲 我單身 這樣子
然後她截自己的文，然後說
笑死 我爸也才37
_________(7個字)
",幹你娘我38啦(ﾒ 皿ﾟ)ﾒ,"7:32
https://youtu.be/TmMGhLfraic?si=-_vY4yhv60Qlp8pk&t=452s"
"請閱讀以下文字完成填空
六嘆:
那是因為我們已經很熟了
所以我們知道大家的分寸在哪邊
可是我們不會跑在路上就隨便跟一個不認識的就開玩笑說
欸白癡  ___(三個字)之類的
",臭包皮,"0:46
https://youtu.be/fFOVIfH0GXQ?si=0JYdyGf83jxwisKx&t=46s"
請問在討論什麼是豆大福的時候，有提到哪個人名？,鈕承澤,"1:49
https://youtu.be/GyjZYIAxGYo?si=KF754H1_3wio6c_x&t=109s"
在動物森友會裡，請問摸誰她就會給你方程式?鳥屎對她的評價是什麼?,傅達妹妹，怎麼這麼破阿,"23:46
https://youtu.be/x56gy20xUoA?si=yVX8yZ3XHXOTcrKA&t=1426s"
請問在LNG中，藍色學校的最後倖存者是誰?,老王,"0:13
https://youtu.be/yyZzuLMVnHo?si=ioE38tt0X4kdSKcB&t=13s"
排練自由新鎮的時候，鳥屎提到明天要順走，並且會有6家媒體來看排練，所以大家哀鴻遍野，請問六嘆接下來講了什麼，展顯了一點幸災樂禍的心情?,他們是伊澤瑞爾嗎 為什麼要瞬走?,"26:19
https://youtu.be/aK5Bm2wlBYs?si=VDPh9z3Va6-umnbC&t=2359s"
請問老王提議各位遊戲設計者可以添加什麼職業，技能是在短時間內造成單體大量的傷害，三回合後對方攻擊力和防禦力都會強效上升?,物理治療師,"15:23
https://youtu.be/lSaJqtwp9xc?si=VaATUqJXnyuqIVcM&t=923s"
在2022年，鳥屎說他在躺著不要動比賽中應該輸定了，但他家的兩隻寵物一起出馬的話應該沒有人可以贏，請問這兩隻寵物是指誰跟誰?,Fick跟燒餅,"14:10
https://youtu.be/ot-CoAYgjBI?si=xi96aXYDKUexgdJe&t=850s"
請問藍亦明在Yahoo奇摩知識加問過什麼問題?,New era 的帽子怎麼戴比較好戴?,"0:27
https://youtu.be/RMRprLmAWw4?si=4M6BsjM4YoR8YZUb&t=27s"
2020年，老王有一天發燒，就密鳥屎說她發燒了，結果鳥屎回她哪兩個字?,革職,"17:11
https://youtu.be/iAQj3X_Gaew?si=uEz-mTXLoyKDUQzi&t=1031s"
請問Leggy在2014說他對汪東城的印象只有什麼?,彈吉他,"17:37
https://youtu.be/8jerr3nq000?si=JaksWkR8rYTRFphY&t=1057s"
老王有一次不小心把「傳」講成「床」，請問她接下來講了什麼，所以讓六嘆不好意思嗆她?,床的世界 love world,"0:53
https://www.youtube.com/watch?v=srxw4xU0cMA&t=52s"
在自由新鎮中，老王是扮演一個偏向溫柔大姊姊的角色，所以在下戲之後與其他人玩遊戲時，不小心嚇到其他人的觀眾，請問是哪一個實況主的觀眾被嚇到?,小葵,"14:25
https://youtu.be/qicTVFBnyyM?si=vIawD4WTrJVIlZN0&t=865s"
請問老王是問八毛要吃什麼東西，但八毛覺得那個太油不想吃，還跟老王翻臉?,肉燥飯,"21:35
https://youtu.be/MOWm4gelL1A?si=_cl0UUpVQ0bwGpd3&t=1295s"
請問在 LNG 實況精華：38滴穢語師傅 中，最後拿到Highlight的人是誰?,八毛,"5:52
https://youtu.be/YQ_NK0NAb8I?si=x8JxCuaB_zPqehD3&t=352s"
"召喚師互罵會降低勝率多少?
(A)8%
(B)13%
(C)16%
(D)20%
",(B)13%,"8:03
https://youtu.be/IcrqGoylPgQ?si=Ccygy-U-gokhVnED&t=483s"
鳥屎有一次收到一個不知道誰寄的酒，他不敢喝。後來他拿去誰家吃飯的時候給他喝，過了20分鐘後他自己才喝?,解婕翎,"5:01
https://youtu.be/z2KaAOADGQk?si=V_kEn3pSYaJxyubb&t=301s"
小時候六嘆去鳥屎家吃飯，鳥屎吃不下，所以六嘆就吃兩大碗，而且又不嚼，又大喝檸檬紅茶，結果就噎到。鳥屎的爸爸就灌六嘆一個黑色的粉，他就全部吐出來。請問他們那個時候在吃什麼?,米粉,"34:24
https://youtu.be/CMknq4e8c0I?si=6RDfC0n62v4ev1D4&t=1464s"
請問Leggy說冰淇淋的什麼口味是老人口味?,百香果,"5:38
https://youtu.be/0bzi4LCs6v4?si=nHs0mzxXWCipmex-&t=338s"
"請問當鳥屎模仿電台主持人問:「請問高雄陳小姐七夕情人節想要對你的伴侶說什麼嗎?」
老王回了什麼?",操你媽有回音阿,"0:30
https://youtu.be/x6x3h2InEcA?si=uvCC8SCGfebTJbmM&t=30s"
鳥屎說他吃蘋果連梗都會吃掉因為怕直接丟垃圾桶會生果蠅，老王就提議可以把梗握在手上，然後怎麼處理呢?,等到下一次擤鼻涕的時候，再把它包進衛生紙裡，就不會有果蠅,"30:40
https://youtu.be/bkTY8wh1MVM?si=xLIixOYHRbnwNDtN&t=1840s"
老王2025年初的時候有設定一個目標表，所以大家就提議把今年目標講出來，而且大家不能評論。請問八毛、小六、老王的目標分別是什麼?,"八毛-練到四轉
小六-賺到明年可以出國的錢
老王-減脂十公斤","23:46
https://youtu.be/-N0yy58jSFw?si=pjiGrFQAIRqAVRDa&t=1426s"
"Leggy:
「你們這樣 你們沒有___(三個字)你們總有一天會因為這樣子冷死的。」
「我現在冬天脫褲子坐下去都會微笑。」
請問空格裡應該填什麼?",暖屁機,"7:50
https://youtu.be/7iTP9bdvPSE?si=5VxG1rUgmHus-sqM&t=470s"
小六搬家的時候，老王很認真的幫忙找了超便宜的冰箱和洗衣機，請問八毛也送給了小六什麼?,一個小時的困擾,"3:00
https://youtu.be/Q5eo6SqBT0g?si=3R8dEsyYhKes2y7E&t=180s"
請問老王如果中一億(不是30億)的話，除了幫鳥屎找一個專業團隊規劃一個完整的隔音設備，還有說要幹嘛?,在台北市中心買一棟房子，然後拿投石機把它催毀掉,"6:07
https://youtu.be/_95fIiUOIfQ?si=rx3NADrt_eyiRgPS&t=367s"
老王發噗說想要買很多東西，鳥屎突然很積極地問說想要買什麼東西，老王覺得很奇怪，但鳥屎一催促她，因為他要做報告，請問鳥屎要做什麼報告?,報告名稱是 朋友五月生日不知道要買什麼，只好直接用問的,"12:18
https://youtu.be/0VY4YZ55jn0?si=Sc0tOcz_wKKsE_Dc&t=738s"
請問鳥屎2025年原本計畫要開多少小時?實際上又開了多少小時?,預計要開400小時，實際開了211小時,"10:44
https://youtu.be/HI2iJ4G74n4?si=lriiGAE1RYQdIEx2&t=644s"
請問六嘆在回顧上一次看的演唱會是誰的時候，忘記了自己去看過哪兩場演唱會?,大嘻哈時代和ØZI,"1:08
https://youtu.be/bLBUf8BMKcI?si=xMzaw2d7eTcuTWzw&t=68s"
在討論小六家電費的問題時，請問鳥屎推測可能是他們家附近的什麼工廠在偷他們家的電?,爆米花工廠,"8:51
https://youtu.be/ai5N0C1Dzm4?si=vcfCQYviroC_Uz8g&t=531s"
請問當被問到大甲在哪裡時，請問八毛回答什麼縣市?,宜蘭,"17:15
https://youtu.be/nSXJPNxYtvw?si=ARwcH-fI89e9G_E0&t=1035s"
鳥屎有一天點消夜的時候看到紅燒赤肉跟紅燒五層肉，令他很好奇差別在哪裡，所以他兩個都點了，請問它們的差別在哪裡?,肉不一樣,"0:50
https://youtu.be/B-s8ksEej9Q?si=t2QtvDtini3fNaiR&t=50s"
請問六嘆形容芋丸是什麼?,小小大星球的玩家,"11:41
https://youtu.be/6Uvi32DxD48?si=_NAdPiVGoGKBUzdh&t=701s"
請問以八毛而言，用海底撈來比喻的話，如果很恐怖是麻辣鍋，八號出口大概是什麼?,胡椒豬肚,"13:49
https://youtu.be/X7DErqqRaE8?si=aWp2S11hwMGgp0D8&t=829s"
老王提到五月天要出重製版的擁抱，鳥屎本來要故意唱超低音的擁抱，結果不小心唱成什麼了?,離開地球表面,"20:45
https://youtu.be/Uzde33aQaY8?si=lGzQiTU8WmM8fOr1&t=1245s"
當討論到狄鶯的Twitch ID時，八毛講了一句:「1989年，我們是不是有人是1989阿。」請問LNG中有誰是1989年生的?,老王,"7:04
https://youtu.be/VIFXG6d22ng?si=rvr-MbIqtqIij8fp&t=424s"
請問老王追的韓國男虛擬偶像團體叫什麼名字?,PLAVE,"0:08
https://youtu.be/-N0yy58jSFw?si=cZmmsAiqRmsj-dMi&t=8s"
請舉例什麼是血刃科技?,它又名為超前沿科技，形容那些需要大量資金與資源投入才能做，但是還不知道有沒有辦法有成果，例如電子郵件。,"16:56
https://youtu.be/f45OCO7VtHs?si=ERSzYvC0udKLpogP&t=1016s"
"以下皆為港片的臺灣配音版台詞，請完成填空。
要記得喔，當作是__(兩個字)喔。
你的表情實在有夠__(兩個字)。
","螃蟹
變態","7:44
https://youtu.be/F2OP8g6SraQ?si=Euo8-wwaj7xwqPyO&t=464s"
請問鳥屎說他在2017見過最有趣的人第一名是統神，第二名是誰?,許孟哲,"0:48
https://youtu.be/3nd0M8_9xVA?si=Czb1M8ANcsU--IM5&t=48s"
請問八毛當兵每天都吃一罐什麼?,波卡,"4:24
https://youtu.be/eqbIjL1jUvs?si=N6g8eoFn2we5RrPq&t=264s"
請問小六是含著什麼樣的湯匙出生的?,臺語的湯匙,"7:30
https://youtu.be/zH7jRdJXPWI?si=KPGf4NttQy3oFPUd&t=450s"
老王的媽媽突然問說八毛喜不喜歡吃柚子，老王覺得八毛懶得剝，老王的媽媽就說要剝給八毛吃，請問老王的媽媽為什麼對八毛這麼好?,因為柚子放到快爛掉了,"18:40
https://youtu.be/0VkeMd-hNnI?si=C2U5E6Oj6lz_JQ1i&t=1120s"
請問是誰在日本不敢跟小六泡溫泉?,微疼,"5:28
https://youtu.be/-bzuLg3wKqk?si=S48ldmRLxOy3-A_y&t=328s"
請問爾康跟誰對線?,風女,"10:07
https://youtu.be/OZhlub-hzss?si=5Oox_tUomZiONtjS&t=607s"
請問鳥屎不在的話，LNG的目標是什麼?,報金鐘,"0:00
https://youtu.be/cO4B-Q6MUMk?si=7vaDOURv70CXhHvy"
請問老王想去的星座批鬥大會open-mic是要批鬥哪個星座?,牡羊座,"6:06
https://youtu.be/tajM8tQx6uA?si=5hRMaeV20ozxirJX&t=366s"
請問八毛用了什麼成語在誇讚自己喝了超會拉肚子的韓國李子汁，身體還沒有任何反應?,鐵石心腸,"35:52
https://youtu.be/VoTpSDmQPcg?si=Y4_lr7JbThGlffYX&t=2152s"
請問觀眾提議本里每天晚上七點都要播什麼?,麻辣鮮師,"32:08
https://youtu.be/aa5Y_6GJpP0?si=FnUaeJDl31-qcRiQ&t=1928s"
請問在李迅2026出國的期間，小六在家貫徹了哪個字?,偷,"4:07
https://youtu.be/cmyze95_Q4o?si=vkl0Jlx3uLuGfwil&t=247s"
"請完成以下對話的填空。
老王:小六要女裝我想想…… 應該比鳥屎容易喔。
鳥屎:屁啦……他長那麼___(一個字)ヽ(`Д´)ﾉ
老王:可是你們兩個長一樣啊。
",錐,"14:22
https://youtu.be/4jULheQueKg?si=ntGZ3f0naVluPp1K&t=862s"
請問陳奕迅的K歌之王第一句是：「我以為要是唱的用心良苦。」的原因是什麼？,因為他的前奏跟用心良苦是一模一樣的,"7:28
https://youtu.be/AQvvN1m7BRM?si=SDvh2pCXcJGlNetP&t=498s"
"請完成以下填空。
八毛：
小六你是真的有一點相信嗎？(世界末日預言)
還是你只是找個機會想要_______(五個字)？
",去Costco爽一下,"2:50
https://youtu.be/hio1pOd7Dfw?si=dovFpcag8q3U8Z6W＆t=170s"
請問老王聽到幾個小學生在seven要買什麼東西，讓他覺得很感動他們的童年有一部分重疊了？,思樂冰的杯子,"10:01
https://youtu.be/UXvrpvpR_-4?si=pijw-oRhEH65vqVc&t=601s"
請問老王想要靠鳥屎紅了去認識誰?然後想要靠KJ紅了去認識誰?,"鳥屎紅了去認識五月天
KJ紅了去認識熊仔","5:18
https://youtu.be/15HpiGpl3NQ?si=oefK_-gFZRqWPbGP&t=318s"
老王有一次在食記看到高雄有一個什麼炒飯，讓她感到十分驚奇?,蜂蜜蛋糕炒飯,"10:08
https://youtu.be/048chpMyhsQ?si=GgEs0qUkDc-16jGe&t=608s"
請問如果六嘆的腦袋只有高爾夫球大小，那觀眾的腦袋就跟什麼一樣小?,BB彈,"6:33
https://youtu.be/iB4dbPjPhuY?si=sv5_yKMrtr797mBT&t=393s"
老王提議六嘆可以在沒什麼人的時候去康是美請店員幫他量代謝率，那請問鳥屎提議六嘆可以穿著大衣在沒什麼人的時候去康是美請店員幫他量什麼?,雞雞的長度,"2:12
https://youtu.be/SBInQvSM2Lg?si=wYE9M09tivWnCIu4&t=132s"
有人問老王說，如果遇到一個人唱歌都會有一個小問題，但他唱得不錯，這個問題也不是說很重要，你會跟他講嗎。請問這個小問題是什麼?,把「人」唱成「稜」,"20:16
https://youtu.be/X7DErqqRaE8?si=3tvbXTvgfSqJHHwC&t=1216s"
請問什麼料理最簡單也最困難?,"蛋炒飯","1:45
https://youtu.be/4qXCF649B4w?si=_5iuExqKVdCaEaQp&t=105s"
請問涂晉峰太郎的師傅叫什麼名字?,峰須賀正勝,"3:56
https://youtu.be/UvvtH68eBzo?si=kVvio9_248ZR8ygm&t=236s"
鳥屎有一次在作弊日很想要吃taco，請問在早上十點到晚上十一點半，這十三半小時期間，他吃了多少個taco?,17個taco,"22:28
https://youtu.be/YS-FG2rPxvA?si=4WGAUSFdZz4MuseA&t=1348s"
"請完成填空。
眾人在討論最近地震越來越頻繁
老王:他有說那個阿，就是我們開始進入地震的那個活躍期了不是嗎?
小六:可以叫他不要活躍嗎?
八毛:可以叫他跟______一樣嗎?(6個字)
",FB的觸擊率,"1:00
https://youtu.be/qVlanuaitw8?si=gbRUZbMb3vYACHqc&t=60s"
"請完成以下填空。
要是我的女人今天沒吃到___，我要你們全部的人陪葬!!!(三個字)
喂，女人，跟我去台北火車站___。(兩個字)","i珍食
乞討","16:48
https://youtu.be/FcmnX9fpBQQ?si=B8uc-PB_-JoYRsqN&t=1008s"
請問鳥屎認為全台灣點鳳梨蝦球會把鳳梨吃掉的人加起來應該不超過幾個?,七個,"15:40
https://youtu.be/klIuUlstB_I?si=DYlEBrFZo2APL9gk&t=940s"
"鳥屎的舅舅是那種講話屁屁的直男類型，跟小六說:「小六，小六，這邊我最大啦，我是阿舅啦。」
請問小六因此稱呼鳥屎的舅舅叫什麼?",舅哥,"4:52
https://youtu.be/P3mgMHC75_I?si=cel_uy5edRvlHoOd&t=292s"
有一天凌晨，鳥屎打電話給小六，但響了兩聲就掛斷。過了五秒，李迅的手機也響了，一樣響了兩聲就掛斷。請問鳥屎為什麼會這樣做?,"因為他喝醉，響了兩聲感覺像響了五聲
所以鳥屎想說應該兩個人都睡了","10:32
https://youtu.be/Xk-yDPBN48E?si=GhUL-5upUoQ4bM_D&t=632s"
"被問到如果像海尼根廣告裡面，朋友帶你去一間放滿什麼東西的房間會讓你興奮地大叫，老王的回答是什麼?",提速的蟑螂,"7:21
https://youtu.be/hG0eD1qUrmI?si=u-v3ruPl4KdTGpJj&t=441s"
